As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,IHub Balance,Balance Difference,Match Status
2024-02-19,Alpha Corp,10002,3,GBP,CASH,ACCOUNTS PAYABLE,29836,29836,0,Match
2024-02-19,Zeta Group,10002,3,JPY,CASH,ACCOUNTS PAYABLE,10676,10676,0,Match
2024-02-19,Alpha Corp,10002,3,USD,CASH,ACCOUNTS PAYABLE,55385,55385,0,Match
2024-02-19,Delta LLC,10002,3,EUR,CASH,ACCOUNTS PAYABLE,1204,1204,0,Match
2024-02-19,Delta LLC,10003,7,USD,INVESTMENTS,ACCOUNTS RECEIVABLE,1998,1997.7,0.3,Break
2024-02-19,Alpha Corp,10003,7,EUR,INVESTMENTS,ACCOUNTS RECEIVABLE,96312,96312,0,Match
2024-02-19,Delta LLC,10004,2,EUR,EQUITY,RETAINED EARNINGS,75041,75036,5,Break
2024-02-19,Alpha Corp,10005,6,USD,REVENUE,EXPENSES,26001,26001,0,Match
2024-02-19,Gamma Inc,10005,6,USD,REVENUE,EXPENSES,8324,8324,0,Match
2024-02-19,Delta LLC,10005,6,EUR,REVENUE,EXPENSES,25473,25473,0,Match
2024-02-19,Gamma Inc,10006,4,EUR,FIXED ASSETS,DEPRECIATION,68344,68344,0,Match
2024-02-19,Alpha Corp,10006,4,CAD,FIXED ASSETS,DEPRECIATION,45790,45790,0,Match
2024-02-19,Gamma Inc,10006,4,CAD,FIXED ASSETS,DEPRECIATION,66672,66672,0,Match
2024-02-19,Beta Ltd,10007,8,JPY,BONDS,INTEREST PAYABLE,76873,76873,0,Match
2024-02-19,Delta LLC,10008,1,CAD,INVENTORY,COST OF GOODS SOLD,66059,66059,0,Match
2024-02-19,Beta Ltd,10009,9,USD,PREPAID EXPENSES,UNBILLED REVENUE,18100,18100,0,Match
2024-02-19,Delta LLC,10009,9,GBP,PREPAID EXPENSES,UNBILLED REVENUE,55950,55950,0,Match
2024-02-19,Beta Ltd,10009,9,JPY,PREPAID EXPENSES,UNBILLED REVENUE,9287,9287,0,Match
2024-02-19,Delta LLC,10010,10,GBP,TAXES,ACCRUED LIABILITIES,60881,60881,0,Match
2024-02-19,Zeta Group,10010,10,GBP,TAXES,ACCRUED LIABILITIES,90923,90923,0,Match
2024-02-19,Zeta Group,10010,10,CAD,TAXES,ACCRUED LIABILITIES,86345,86345,0,Match
2024-02-20,Delta LLC,10001,5,GBP,LOANS,DEFERRED COSTS,96616,96616,0,Match
2024-02-20,Alpha Corp,10001,5,EUR,LOANS,DEFERRED COSTS,20459,20459,0,Match
2024-02-20,Gamma Inc,10002,3,JPY,CASH,ACCOUNTS PAYABLE,91773,91773,0,Match
2024-02-20,Delta LLC,10002,3,EUR,CASH,ACCOUNTS PAYABLE,73178,73179,-1,Break
2024-02-20,Delta LLC,10002,3,EUR,CASH,ACCOUNTS PAYABLE,14265,14265,0,Match
2024-02-20,Alpha Corp,10002,3,CAD,CASH,ACCOUNTS PAYABLE,14659,14659,0,Match
2024-02-20,Gamma Inc,10004,2,JPY,EQUITY,RETAINED EARNINGS,40399,40399,0,Match
2024-02-20,Alpha Corp,10006,4,GBP,FIXED ASSETS,DEPRECIATION,48835,48834,1,Break
2024-02-20,Gamma Inc,10008,1,GBP,INVENTORY,COST OF GOODS SOLD,11338,11338,0,Match
2024-02-21,Zeta Group,10004,2,USD,EQUITY,RETAINED EARNINGS,23510,23510,0,Match
2024-02-21,Alpha Corp,10005,6,USD,REVENUE,EXPENSES,35492,35492,0,Match
2024-02-21,Gamma Inc,10006,4,GBP,FIXED ASSETS,DEPRECIATION,88864,88864,0,Match
2024-02-21,Gamma Inc,10006,4,GBP,FIXED ASSETS,DEPRECIATION,82112,82112,0,Match
2024-02-21,Gamma Inc,10006,4,JPY,FIXED ASSETS,DEPRECIATION,49274,49274,0,Match
2024-02-21,Beta Ltd,10007,8,EUR,BONDS,INTEREST PAYABLE,19715,19715,0,Match
2024-02-21,Gamma Inc,10008,1,GBP,INVENTORY,COST OF GOODS SOLD,32874,32874,0,Match
2024-02-21,Gamma Inc,10008,1,USD,INVENTORY,COST OF GOODS SOLD,89904,89904,0,Match
2024-02-21,Beta Ltd,10009,9,EUR,PREPAID EXPENSES,UNBILLED REVENUE,34277,35277,-1000,Break
2024-02-21,Zeta Group,10009,9,EUR,PREPAID EXPENSES,UNBILLED REVENUE,11520,11520,0,Match
2024-02-21,Beta Ltd,10009,9,GBP,PREPAID EXPENSES,UNBILLED REVENUE,46333,46333,0,Match
2024-02-21,Alpha Corp,10010,10,GBP,TAXES,ACCRUED LIABILITIES,85419,85419,0,Match
2024-02-21,Delta LLC,10010,10,USD,TAXES,ACCRUED LIABILITIES,2119,21196,-19077,Break
2024-02-21,Alpha Corp,10010,10,USD,TAXES,ACCRUED LIABILITIES,21318,21318,0,Match
2024-02-22,Alpha Corp,10001,5,USD,LOANS,DEFERRED COSTS,54337,54337,0,Match
2024-02-22,Alpha Corp,10001,5,EUR,LOANS,DEFERRED COSTS,69036,69036,0,Match
2024-02-22,Beta Ltd,10001,5,USD,LOANS,DEFERRED COSTS,43140,43140,0,Match
2024-02-22,Zeta Group,10002,3,USD,CASH,ACCOUNTS PAYABLE,94080,44080,50000,Break
2024-02-22,Beta Ltd,10002,3,EUR,CASH,ACCOUNTS PAYABLE,76125,76125,0,Match
2024-02-22,Alpha Corp,10002,3,JPY,CASH,ACCOUNTS PAYABLE,87843,87843,0,Match
2024-02-22,Alpha Corp,10004,2,GBP,EQUITY,RETAINED EARNINGS,59189,59189,0,Match
2024-02-22,Zeta Group,10004,2,CAD,EQUITY,RETAINED EARNINGS,91537,91537,0,Match
2024-02-22,Delta LLC,10004,2,JPY,EQUITY,RETAINED EARNINGS,40152,40152,0,Match
2024-02-22,Zeta Group,10004,2,GBP,EQUITY,RETAINED EARNINGS,7455,7455,0,Match
2024-02-22,Zeta Group,10005,6,GBP,REVENUE,EXPENSES,76453,76453,0,Match
2024-02-22,Gamma Inc,10006,4,USD,FIXED ASSETS,DEPRECIATION,30453,30453,0,Match
2024-02-22,Delta LLC,10006,4,CAD,FIXED ASSETS,DEPRECIATION,39402,39402,0,Match
2024-02-22,Alpha Corp,10006,4,CAD,FIXED ASSETS,DEPRECIATION,67995,67995,0,Match
2024-02-22,Delta LLC,10007,8,JPY,BONDS,INTEREST PAYABLE,33366,33366,0,Match
2024-02-22,Alpha Corp,10007,8,JPY,BONDS,INTEREST PAYABLE,8802,8802,0,Match
2024-02-22,Gamma Inc,10007,8,USD,BONDS,INTEREST PAYABLE,15808,15808,0,Match
2024-02-22,Alpha Corp,10007,8,USD,BONDS,INTEREST PAYABLE,27916,27916,0,Match
2024-02-22,Delta LLC,10009,9,EUR,PREPAID EXPENSES,UNBILLED REVENUE,94755,94755,0,Match
2024-02-22,Delta LLC,10010,10,USD,TAXES,ACCRUED LIABILITIES,42495,42495,0,Match
2024-02-22,Alpha Corp,10010,10,EUR,TAXES,ACCRUED LIABILITIES,98722,98722,0,Match
2024-02-22,Delta LLC,10010,10,EUR,TAXES,ACCRUED LIABILITIES,8595,8595,0,Match
2024-02-23,Beta Ltd,10001,5,CAD,LOANS,DEFERRED COSTS,25399,25399,0,Match
2024-02-23,Zeta Group,10001,5,EUR,LOANS,DEFERRED COSTS,39912,39912,0,Match
2024-02-23,Zeta Group,10001,5,USD,LOANS,DEFERRED COSTS,42543,42543,0,Match
2024-02-23,Alpha Corp,10001,5,USD,LOANS,DEFERRED COSTS,41095,41095,0,Match
2024-02-23,Gamma Inc,10002,3,USD,CASH,ACCOUNTS PAYABLE,33113,33113,0,Match
2024-02-23,Delta LLC,10002,3,USD,CASH,ACCOUNTS PAYABLE,69601,69601,0,Match
2024-02-23,Zeta Group,10002,3,JPY,CASH,ACCOUNTS PAYABLE,34378,34378,0,Match
2024-02-23,Delta LLC,10002,3,GBP,CASH,ACCOUNTS PAYABLE,72788,72488,300,Break
2024-02-23,Beta Ltd,10003,7,GBP,INVESTMENTS,ACCOUNTS RECEIVABLE,97539,97539,0,Match
2024-02-23,Beta Ltd,10003,7,JPY,INVESTMENTS,ACCOUNTS RECEIVABLE,39304,39304,0,Match
2024-02-23,Gamma Inc,10004,2,EUR,EQUITY,RETAINED EARNINGS,53090,53090,0,Match
2024-02-23,Alpha Corp,10004,2,GBP,EQUITY,RETAINED EARNINGS,68581,68581,0,Match
2024-02-23,Delta LLC,10006,4,GBP,FIXED ASSETS,DEPRECIATION,9893,98933,-89040,Break
2024-02-23,Zeta Group,10006,4,CAD,FIXED ASSETS,DEPRECIATION,78718,78717.06,0.94,Break
2024-02-23,Delta LLC,10006,4,GBP,FIXED ASSETS,DEPRECIATION,3581,3581,0,Match
2024-02-23,Zeta Group,10009,9,CAD,PREPAID EXPENSES,UNBILLED REVENUE,16460,16460,0,Match
2024-02-24,Gamma Inc,10002,3,EUR,CASH,ACCOUNTS PAYABLE,5893,5893,0,Match
2024-02-24,Alpha Corp,10002,3,JPY,CASH,ACCOUNTS PAYABLE,59307,59307,0,Match
2024-02-24,Zeta Group,10002,3,CAD,CASH,ACCOUNTS PAYABLE,59726,59726,0,Match
2024-02-24,Alpha Corp,10002,3,USD,CASH,ACCOUNTS PAYABLE,80406,80406,0,Match
2024-02-24,Beta Ltd,10003,7,USD,INVESTMENTS,ACCOUNTS RECEIVABLE,51959,51962,-3,Break
2024-02-24,Zeta Group,10003,7,USD,INVESTMENTS,ACCOUNTS RECEIVABLE,99894,99896,-2,Break
2024-02-24,Alpha Corp,10003,7,EUR,INVESTMENTS,ACCOUNTS RECEIVABLE,36285,36285,0,Match
2024-02-24,Zeta Group,10004,2,JPY,EQUITY,RETAINED EARNINGS,5315,5315,0,Match
2024-02-24,Delta LLC,10004,2,EUR,EQUITY,RETAINED EARNINGS,45910,45910,0,Match
2024-02-24,Beta Ltd,10004,2,GBP,EQUITY,RETAINED EARNINGS,91096,91092,4,Break
2024-02-24,Delta LLC,10004,2,JPY,EQUITY,RETAINED EARNINGS,41324,41324,0,Match
2024-02-24,Zeta Group,10005,6,JPY,REVENUE,EXPENSES,52748,52748,0,Match
2024-02-24,Gamma Inc,10006,4,GBP,FIXED ASSETS,DEPRECIATION,1907,1907,0,Match
2024-02-24,Delta LLC,10006,4,CAD,FIXED ASSETS,DEPRECIATION,33003,33003,0,Match
2024-02-24,Zeta Group,10007,8,USD,BONDS,INTEREST PAYABLE,55230,55230,0,Match
2024-02-24,Beta Ltd,10008,1,EUR,INVENTORY,COST OF GOODS SOLD,8901,8901,0,Match
2024-02-24,Zeta Group,10008,1,JPY,INVENTORY,COST OF GOODS SOLD,66090,66090,0,Match
2024-02-24,Delta LLC,10008,1,JPY,INVENTORY,COST OF GOODS SOLD,49472,49472,0,Match
2024-02-24,Zeta Group,10009,9,CAD,PREPAID EXPENSES,UNBILLED REVENUE,2575,2575,0,Match
2024-02-25,Gamma Inc,10001,5,JPY,LOANS,DEFERRED COSTS,42803,42803.31,-0.31,Break
2024-02-25,Delta LLC,10002,3,USD,CASH,ACCOUNTS PAYABLE,80033,80033,0,Match
2024-02-25,Zeta Group,10003,7,JPY,INVESTMENTS,ACCOUNTS RECEIVABLE,30784,30784,0,Match
2024-02-25,Zeta Group,10003,7,EUR,INVESTMENTS,ACCOUNTS RECEIVABLE,95343,95343,0,Match
2024-02-25,Gamma Inc,10003,7,USD,INVESTMENTS,ACCOUNTS RECEIVABLE,11319,11319,0,Match
2024-02-25,Alpha Corp,10005,6,CAD,REVENUE,EXPENSES,83010,83010,0,Match
2024-02-25,Delta LLC,10005,6,USD,REVENUE,EXPENSES,7233,7233,0,Match
2024-02-25,Alpha Corp,10006,4,GBP,FIXED ASSETS,DEPRECIATION,88247,88247,0,Match
2024-02-25,Delta LLC,10006,4,GBP,FIXED ASSETS,DEPRECIATION,50307,50307,0,Match
2024-02-25,Alpha Corp,10007,8,CAD,BONDS,INTEREST PAYABLE,51274,51274,0,Match
2024-02-25,Beta Ltd,10007,8,EUR,BONDS,INTEREST PAYABLE,74333,74333,0,Match
2024-02-25,Delta LLC,10008,1,USD,INVENTORY,COST OF GOODS SOLD,79088,79088,0,Match
2024-02-25,Gamma Inc,10008,1,USD,INVENTORY,COST OF GOODS SOLD,68142,68142,0,Match
2024-02-25,Zeta Group,10010,10,JPY,TAXES,ACCRUED LIABILITIES,15457,15457,0,Match
2024-02-25,Delta LLC,10010,10,GBP,TAXES,ACCRUED LIABILITIES,12497,12497,0,Match
2024-02-25,Beta Ltd,10010,10,EUR,TAXES,ACCRUED LIABILITIES,1990,1990,0,Match
2024-02-26,Alpha Corp,10001,5,EUR,LOANS,DEFERRED COSTS,11848,11848,0,Match
2024-02-26,Zeta Group,10001,5,EUR,LOANS,DEFERRED COSTS,51744,51744,0,Match
2024-02-26,Beta Ltd,10001,5,CAD,LOANS,DEFERRED COSTS,16107,16107,0,Match
2024-02-26,Zeta Group,10001,5,JPY,LOANS,DEFERRED COSTS,70999,70999,0,Match
2024-02-26,Beta Ltd,10002,3,EUR,CASH,ACCOUNTS PAYABLE,46685,46685,0,Match
2024-02-26,Delta LLC,10002,3,USD,CASH,ACCOUNTS PAYABLE,80534,80534,0,Match
2024-02-26,Alpha Corp,10003,7,GBP,INVESTMENTS,ACCOUNTS RECEIVABLE,97887,97887,0,Match
2024-02-26,Zeta Group,10003,7,USD,INVESTMENTS,ACCOUNTS RECEIVABLE,12417,12417,0,Match
2024-02-26,Delta LLC,10006,4,GBP,FIXED ASSETS,DEPRECIATION,90933,90933,0,Match
2024-02-26,Beta Ltd,10006,4,EUR,FIXED ASSETS,DEPRECIATION,43919,43919,0,Match
2024-02-26,Beta Ltd,10008,1,GBP,INVENTORY,COST OF GOODS SOLD,8868,88682,-79814,Break
2024-02-26,Delta LLC,10008,1,USD,INVENTORY,COST OF GOODS SOLD,98209,98209,0,Match
2024-02-26,Zeta Group,10008,1,JPY,INVENTORY,COST OF GOODS SOLD,9304,9304,0,Match
2024-02-26,Beta Ltd,10009,9,CAD,PREPAID EXPENSES,UNBILLED REVENUE,21726,21726,0,Match
2024-02-26,Zeta Group,10009,9,CAD,PREPAID EXPENSES,UNBILLED REVENUE,61648,61648,0,Match
2024-02-26,Zeta Group,10009,9,JPY,PREPAID EXPENSES,UNBILLED REVENUE,74508,74508,0,Match
2024-02-26,Beta Ltd,10009,9,USD,PREPAID EXPENSES,UNBILLED REVENUE,11760,11760,0,Match
2024-02-26,Zeta Group,10010,10,JPY,TAXES,ACCRUED LIABILITIES,46625,46625,0,Match
2024-02-26,Beta Ltd,10010,10,CAD,TAXES,ACCRUED LIABILITIES,63551,63548,3,Break
2024-02-26,Gamma Inc,10010,10,EUR,TAXES,ACCRUED LIABILITIES,20912,20912,0,Match
2024-02-26,Gamma Inc,10010,10,USD,TAXES,ACCRUED LIABILITIES,64212,64212,0,Match
2024-02-27,Delta LLC,10001,5,CAD,LOANS,DEFERRED COSTS,78217,78217,0,Match
2024-02-27,Beta Ltd,10001,5,USD,LOANS,DEFERRED COSTS,19656,19656,0,Match
2024-02-27,Beta Ltd,10002,3,GBP,CASH,ACCOUNTS PAYABLE,58437,58437,0,Match
2024-02-27,Beta Ltd,10005,6,EUR,REVENUE,EXPENSES,25599,25599,0,Match
2024-02-27,Alpha Corp,10005,6,CAD,REVENUE,EXPENSES,63901,63901,0,Match
2024-02-27,Beta Ltd,10006,4,CAD,FIXED ASSETS,DEPRECIATION,79598,79598,0,Match
2024-02-27,Delta LLC,10008,1,USD,INVENTORY,COST OF GOODS SOLD,98102,98102,0,Match
2024-02-27,Zeta Group,10010,10,GBP,TAXES,ACCRUED LIABILITIES,61559,61559,0,Match
2024-02-27,Gamma Inc,10010,10,EUR,TAXES,ACCRUED LIABILITIES,98652,98652,0,Match
2024-02-28,Delta LLC,10001,5,GBP,LOANS,DEFERRED COSTS,80945,80945,0,Match
2024-02-28,Beta Ltd,10001,5,EUR,LOANS,DEFERRED COSTS,85031,85031,0,Match
2024-02-28,Zeta Group,10001,5,JPY,LOANS,DEFERRED COSTS,46834,46834,0,Match
2024-02-28,Beta Ltd,10001,5,GBP,LOANS,DEFERRED COSTS,7479,7482,-3,Break
2024-02-28,Zeta Group,10002,3,USD,CASH,ACCOUNTS PAYABLE,25145,25145,0,Match
2024-02-28,Delta LLC,10002,3,USD,CASH,ACCOUNTS PAYABLE,11206,11206,0,Match
2024-02-28,Beta Ltd,10002,3,JPY,CASH,ACCOUNTS PAYABLE,26788,26788,0,Match
2024-02-28,Beta Ltd,10003,7,CAD,INVESTMENTS,ACCOUNTS RECEIVABLE,46043,46043,0,Match
2024-02-28,Zeta Group,10003,7,JPY,INVESTMENTS,ACCOUNTS RECEIVABLE,533640,53364,480276,Break
2024-02-28,Delta LLC,10003,7,GBP,INVESTMENTS,ACCOUNTS RECEIVABLE,41975,41970,5,Break
2024-02-28,Zeta Group,10004,2,JPY,EQUITY,RETAINED EARNINGS,75110,75110,0,Match
2024-02-28,Delta LLC,10004,2,JPY,EQUITY,RETAINED EARNINGS,46796,46796,0,Match
2024-02-28,Zeta Group,10004,2,CAD,EQUITY,RETAINED EARNINGS,47990,47990,0,Match
2024-02-28,Gamma Inc,10004,2,EUR,EQUITY,RETAINED EARNINGS,47147,47147,0,Match
2024-02-28,Zeta Group,10005,6,USD,REVENUE,EXPENSES,60142,60142,0,Match
2024-02-28,Gamma Inc,10006,4,USD,FIXED ASSETS,DEPRECIATION,69193,69193,0,Match
2024-02-28,Beta Ltd,10006,4,USD,FIXED ASSETS,DEPRECIATION,95792,95792,0,Match
2024-02-28,Delta LLC,10009,9,CAD,PREPAID EXPENSES,UNBILLED REVENUE,2985,2985,0,Match
2024-02-28,Delta LLC,10009,9,CAD,PREPAID EXPENSES,UNBILLED REVENUE,12218,12218,0,Match
2024-02-28,Alpha Corp,10009,9,USD,PREPAID EXPENSES,UNBILLED REVENUE,88437,88437,0,Match
2024-02-28,Alpha Corp,10009,9,USD,PREPAID EXPENSES,UNBILLED REVENUE,62224,62224,0,Match
2024-02-28,Gamma Inc,10010,10,GBP,TAXES,ACCRUED LIABILITIES,42306,42306,0,Match
2024-02-28,Beta Ltd,10010,10,GBP,TAXES,ACCRUED LIABILITIES,68224,68224,0,Match
2024-02-28,Delta LLC,10010,10,CAD,TAXES,ACCRUED LIABILITIES,97354,97354,0,Match
2024-02-29,Gamma Inc,10001,5,EUR,LOANS,DEFERRED COSTS,88520,88520,0,Match
2024-02-29,Gamma Inc,10001,5,GBP,LOANS,DEFERRED COSTS,37774,37774,0,Match
2024-02-29,Alpha Corp,10002,3,CAD,CASH,ACCOUNTS PAYABLE,97587,97587,0,Match
2024-02-29,Alpha Corp,10002,3,JPY,CASH,ACCOUNTS PAYABLE,61095,61095,0,Match
2024-02-29,Beta Ltd,10005,6,EUR,REVENUE,EXPENSES,16327,16327,0,Match
2024-02-29,Alpha Corp,10006,4,CAD,FIXED ASSETS,DEPRECIATION,45439,45439,0,Match
2024-02-29,Zeta Group,10006,4,EUR,FIXED ASSETS,DEPRECIATION,897040,89704,807336,Break
2024-02-29,Alpha Corp,10007,8,GBP,BONDS,INTEREST PAYABLE,97813,97813,0,Match
2024-02-29,Alpha Corp,10007,8,EUR,BONDS,INTEREST PAYABLE,44881,44881,0,Match
2024-02-29,Delta LLC,10009,9,GBP,PREPAID EXPENSES,UNBILLED REVENUE,78602,78605,-3,Break
2024-02-29,Beta Ltd,10009,9,USD,PREPAID EXPENSES,UNBILLED REVENUE,48920,48920,0,Match
2024-02-29,Delta LLC,10010,10,GBP,TAXES,ACCRUED LIABILITIES,64809,64809,0,Match
2024-03-01,Delta LLC,10002,3,EUR,CASH,ACCOUNTS PAYABLE,34388,34388,0,Match
2024-03-01,Alpha Corp,10002,3,JPY,CASH,ACCOUNTS PAYABLE,59566,59566,0,Match
2024-03-01,Zeta Group,10002,3,JPY,CASH,ACCOUNTS PAYABLE,7478,7478,0,Match
2024-03-01,Zeta Group,10002,3,USD,CASH,ACCOUNTS PAYABLE,13163,13163,0,Match
2024-03-01,Alpha Corp,10003,7,CAD,INVESTMENTS,ACCOUNTS RECEIVABLE,66745,66745,0,Match
2024-03-01,Alpha Corp,10003,7,JPY,INVESTMENTS,ACCOUNTS RECEIVABLE,56850,56850,0,Match
2024-03-01,Beta Ltd,10004,2,CAD,EQUITY,RETAINED EARNINGS,86098,86098,0,Match
2024-03-01,Zeta Group,10004,2,JPY,EQUITY,RETAINED EARNINGS,42759,42759,0,Match
2024-03-01,Beta Ltd,10004,2,EUR,EQUITY,RETAINED EARNINGS,41685,46685,-5000,Break
2024-03-01,Zeta Group,10004,2,EUR,EQUITY,RETAINED EARNINGS,40165,40165,0,Match
2024-03-01,Beta Ltd,10006,4,JPY,FIXED ASSETS,DEPRECIATION,35126,35126,0,Match
2024-03-01,Zeta Group,10007,8,GBP,BONDS,INTEREST PAYABLE,16015,16015,0,Match
2024-03-01,Beta Ltd,10008,1,JPY,INVENTORY,COST OF GOODS SOLD,74785,74785,0,Match
2024-03-01,Zeta Group,10008,1,EUR,INVENTORY,COST OF GOODS SOLD,60690,60690,0,Match
2024-03-01,Delta LLC,10008,1,USD,INVENTORY,COST OF GOODS SOLD,11382,11382,0,Match
2024-03-01,Delta LLC,10010,10,GBP,TAXES,ACCRUED LIABILITIES,85200,85200,0,Match
2024-03-01,Delta LLC,10010,10,USD,TAXES,ACCRUED LIABILITIES,74538,74538,0,Match
2024-03-01,Beta Ltd,10010,10,JPY,TAXES,ACCRUED LIABILITIES,83729,83729,0,Match
2024-03-02,Zeta Group,10002,3,EUR,CASH,ACCOUNTS PAYABLE,62534,62534,0,Match
2024-03-02,Gamma Inc,10003,7,EUR,INVESTMENTS,ACCOUNTS RECEIVABLE,66999,66999,0,Match
2024-03-02,Beta Ltd,10004,2,CAD,EQUITY,RETAINED EARNINGS,47915,47915,0,Match
2024-03-02,Gamma Inc,10004,2,EUR,EQUITY,RETAINED EARNINGS,29598,29598,0,Match
2024-03-02,Alpha Corp,10004,2,GBP,EQUITY,RETAINED EARNINGS,47003,47003,0,Match
2024-03-02,Zeta Group,10007,8,EUR,BONDS,INTEREST PAYABLE,80911,80911,0,Match
2024-03-02,Alpha Corp,10007,8,USD,BONDS,INTEREST PAYABLE,8541,8540,1,Break
2024-03-02,Beta Ltd,10007,8,EUR,BONDS,INTEREST PAYABLE,27377,27377,0,Match
2024-03-02,Alpha Corp,10007,8,CAD,BONDS,INTEREST PAYABLE,38448,38448,0,Match
2024-03-02,Delta LLC,10009,9,EUR,PREPAID EXPENSES,UNBILLED REVENUE,3867,3867,0,Match
2024-03-02,Beta Ltd,10009,9,USD,PREPAID EXPENSES,UNBILLED REVENUE,40701,40701,0,Match
2024-03-02,Gamma Inc,10010,10,CAD,TAXES,ACCRUED LIABILITIES,23367,23367,0,Match
2024-03-02,Beta Ltd,10010,10,JPY,TAXES,ACCRUED LIABILITIES,27282,27282,0,Match
2024-03-02,Beta Ltd,10010,10,JPY,TAXES,ACCRUED LIABILITIES,85359,85359,0,Match
2024-03-02,Beta Ltd,10010,10,JPY,TAXES,ACCRUED LIABILITIES,25244,25244,0,Match
2024-03-03,Delta LLC,10002,3,EUR,CASH,ACCOUNTS PAYABLE,38385,38385,0,Match
2024-03-03,Zeta Group,10002,3,GBP,CASH,ACCOUNTS PAYABLE,4818,4818,0,Match
2024-03-03,Alpha Corp,10002,3,CAD,CASH,ACCOUNTS PAYABLE,35860,35860,0,Match
2024-03-03,Zeta Group,10004,2,CAD,EQUITY,RETAINED EARNINGS,61186,61186,0,Match
2024-03-03,Beta Ltd,10005,6,GBP,REVENUE,EXPENSES,27022,27022.35,-0.35,Break
2024-03-03,Gamma Inc,10007,8,USD,BONDS,INTEREST PAYABLE,39006,39006,0,Match
2024-03-03,Beta Ltd,10009,9,GBP,PREPAID EXPENSES,UNBILLED REVENUE,81130,82130,-1000,Break
2024-03-03,Gamma Inc,10009,9,CAD,PREPAID EXPENSES,UNBILLED REVENUE,43067,43067,0,Match
2024-03-03,Zeta Group,10009,9,USD,PREPAID EXPENSES,UNBILLED REVENUE,31117,31117,0,Match
2024-03-04,Delta LLC,10001,5,CAD,LOANS,DEFERRED COSTS,1885,1885,0,Match
2024-03-04,Alpha Corp,10001,5,GBP,LOANS,DEFERRED COSTS,64867,64867,0,Match
