As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,IHub Balance,Balance Difference,Match Status
2024-02-22,Zeta Group,10010,10,JPY,TAXES,ACCRUED LIABILITIES,49308.84,49308.84,0.0,Match
2024-02-23,Beta Ltd,10001,5,GBP,LOANS,DEFERRED COSTS,58187.72,58187.72,0.0,Match
2024-02-23,Delta LLC,10001,5,GBP,LOANS,DEFERRED COSTS,18608.47,18608.47,0.0,Match
2024-02-23,Beta Ltd,10001,5,EUR,LOANS,DEFERRED COSTS,80568.53,81578.76,-1010.23,Break
2024-02-23,Zeta Group,10001,5,CAD,LOANS,DEFERRED COSTS,82493.1,82493.1,0.0,Match
2024-02-23,Zeta Group,10002,3,EUR,CASH,ACCOUNTS PAYABLE,52062.86,52062.86,0.0,Match
2024-02-23,Zeta Group,10002,3,EUR,CASH,ACCOUNTS PAYABLE,51012.95,51012.95,0.0,Match
2024-02-23,Beta Ltd,10002,3,GBP,CASH,ACCOUNTS PAYABLE,36729.0,36729.0,0.0,Match
2024-02-23,Delta LLC,10002,3,EUR,CASH,ACCOUNTS PAYABLE,97100.12,97100.12,0.0,Match
2024-02-23,Delta LLC,10007,8,JPY,BONDS,INTEREST PAYABLE,27886.51,27886.51,0.0,Match
2024-02-23,Alpha Corp,10007,8,JPY,BONDS,INTEREST PAYABLE,13701.6,14521.88,-820.28,Break
2024-02-23,Gamma Inc,10007,8,EUR,BONDS,INTEREST PAYABLE,60704.31,60704.31,0.0,Match
2024-02-23,Beta Ltd,10010,10,GBP,TAXES,ACCRUED LIABILITIES,72253.2,72253.2,0.0,Match
2024-02-24,Gamma Inc,10001,5,CAD,LOANS,DEFERRED COSTS,91731.88,91731.88,0.0,Match
2024-02-24,Gamma Inc,10003,7,JPY,INVESTMENTS,ACCOUNTS RECEIVABLE,25010.88,25010.88,0.0,Match
2024-02-24,Delta LLC,10003,7,EUR,INVESTMENTS,ACCOUNTS RECEIVABLE,72054.32,72054.32,0.0,Match
2024-02-24,Zeta Group,10003,7,GBP,INVESTMENTS,ACCOUNTS RECEIVABLE,24340.77,24340.77,0.0,Match
2024-02-24,Delta LLC,10003,7,JPY,INVESTMENTS,ACCOUNTS RECEIVABLE,95776.18,95776.18,0.0,Match
2024-02-24,Gamma Inc,10008,1,CAD,INVENTORY,COST OF GOODS SOLD,13871.38,13871.38,0.0,Match
2024-02-24,Beta Ltd,10010,10,JPY,TAXES,ACCRUED LIABILITIES,63209.57,63209.57,0.0,Match
2024-02-25,Beta Ltd,10002,3,JPY,CASH,ACCOUNTS PAYABLE,20033.74,20033.74,0.0,Match
2024-02-25,Alpha Corp,10003,7,JPY,INVESTMENTS,ACCOUNTS RECEIVABLE,58874.59,59993.55,-1118.96,Break
2024-02-25,Gamma Inc,10003,7,GBP,INVESTMENTS,ACCOUNTS RECEIVABLE,85853.91,85853.91,0.0,Match
2024-02-25,Beta Ltd,10004,2,GBP,EQUITY,RETAINED EARNINGS,10199.1,10199.1,0.0,Match
2024-02-25,Gamma Inc,10004,2,GBP,EQUITY,RETAINED EARNINGS,32335.96,32335.96,0.0,Match
2024-02-25,Gamma Inc,10005,6,EUR,REVENUE,EXPENSES,34869.34,34869.34,0.0,Match
2024-02-25,Gamma Inc,10005,6,JPY,REVENUE,EXPENSES,55005.91,55005.91,0.0,Match
2024-02-25,Beta Ltd,10005,6,JPY,REVENUE,EXPENSES,84363.75,84363.75,0.0,Match
2024-02-25,Delta LLC,10005,6,JPY,REVENUE,EXPENSES,34790.22,34790.22,0.0,Match
2024-02-25,Alpha Corp,10010,10,GBP,TAXES,ACCRUED LIABILITIES,36077.1,36077.1,0.0,Match
2024-02-25,Gamma Inc,10010,10,CAD,TAXES,ACCRUED LIABILITIES,59687.03,59687.03,0.0,Match
2024-02-25,Delta LLC,10010,10,CAD,TAXES,ACCRUED LIABILITIES,67053.56,67053.56,0.0,Match
2024-02-25,Beta Ltd,10010,10,USD,TAXES,ACCRUED LIABILITIES,3928.97,3928.97,0.0,Match
2024-02-26,Zeta Group,10002,3,JPY,CASH,ACCOUNTS PAYABLE,10183.68,10183.68,0.0,Match
2024-02-26,Alpha Corp,10002,3,GBP,CASH,ACCOUNTS PAYABLE,57323.69,57323.69,0.0,Match
2024-02-26,Gamma Inc,10002,3,USD,CASH,ACCOUNTS PAYABLE,84782.63,84782.63,0.0,Match
2024-02-26,Zeta Group,10002,3,GBP,CASH,ACCOUNTS PAYABLE,9352.82,9352.82,0.0,Match
2024-02-26,Beta Ltd,10007,8,EUR,BONDS,INTEREST PAYABLE,87546.63,87546.63,0.0,Match
2024-02-26,Beta Ltd,10007,8,JPY,BONDS,INTEREST PAYABLE,86706.09,87314.43,-608.34,Break
2024-02-26,Alpha Corp,10008,1,CAD,INVENTORY,COST OF GOODS SOLD,60915.54,60915.54,0.0,Match
2024-02-27,Delta LLC,10001,5,CAD,LOANS,DEFERRED COSTS,52108.65,52108.65,0.0,Match
2024-02-27,Gamma Inc,10001,5,EUR,LOANS,DEFERRED COSTS,81394.11,81394.11,0.0,Match
2024-02-27,Beta Ltd,10002,3,CAD,CASH,ACCOUNTS PAYABLE,88163.12,88163.12,0.0,Match
2024-02-27,Gamma Inc,10003,7,USD,INVESTMENTS,ACCOUNTS RECEIVABLE,73670.93,73670.93,0.0,Match
2024-02-27,Gamma Inc,10004,2,EUR,EQUITY,RETAINED EARNINGS,33752.04,33752.04,0.0,Match
2024-02-27,Beta Ltd,10006,4,GBP,FIXED ASSETS,DEPRECIATION,24383.47,24383.47,0.0,Match
2024-02-27,Beta Ltd,10006,4,CAD,FIXED ASSETS,DEPRECIATION,2939.3,2939.3,0.0,Match
2024-02-27,Zeta Group,10006,4,USD,FIXED ASSETS,DEPRECIATION,50584.21,50584.21,0.0,Match
2024-02-27,Gamma Inc,10007,8,USD,BONDS,INTEREST PAYABLE,79734.84,79734.84,0.0,Match
2024-02-27,Alpha Corp,10007,8,USD,BONDS,INTEREST PAYABLE,43331.13,43331.13,0.0,Match
2024-02-27,Delta LLC,10007,8,EUR,BONDS,INTEREST PAYABLE,37919.24,37919.24,0.0,Match
2024-02-27,Gamma Inc,10008,1,JPY,INVENTORY,COST OF GOODS SOLD,73086.31,73086.31,0.0,Match
2024-02-27,Beta Ltd,10008,1,EUR,INVENTORY,COST OF GOODS SOLD,14697.4,14697.4,0.0,Match
2024-02-27,Beta Ltd,10008,1,CAD,INVENTORY,COST OF GOODS SOLD,54528.96,54528.96,0.0,Match
2024-02-27,Alpha Corp,10008,1,USD,INVENTORY,COST OF GOODS SOLD,55001.25,55001.25,0.0,Match
2024-02-27,Delta LLC,10009,9,CAD,PREPAID EXPENSES,UNBILLED REVENUE,3062.07,3062.07,0.0,Match
2024-02-27,Zeta Group,10009,9,GBP,PREPAID EXPENSES,UNBILLED REVENUE,25464.82,25464.82,0.0,Match
2024-02-27,Zeta Group,10009,9,JPY,PREPAID EXPENSES,UNBILLED REVENUE,53706.29,53706.29,0.0,Match
2024-02-27,Beta Ltd,10010,10,CAD,TAXES,ACCRUED LIABILITIES,20156.24,20156.24,0.0,Match
2024-02-27,Delta LLC,10010,10,JPY,TAXES,ACCRUED LIABILITIES,32773.67,32773.67,0.0,Match
2024-02-27,Zeta Group,10010,10,EUR,TAXES,ACCRUED LIABILITIES,78086.52,78086.52,0.0,Match
2024-02-27,Delta LLC,10010,10,JPY,TAXES,ACCRUED LIABILITIES,50084.51,50084.51,0.0,Match
2024-02-28,Gamma Inc,10003,7,JPY,INVESTMENTS,ACCOUNTS RECEIVABLE,96832.82,96832.82,0.0,Match
2024-02-28,Alpha Corp,10003,7,GBP,INVESTMENTS,ACCOUNTS RECEIVABLE,79780.64,79780.64,0.0,Match
2024-02-28,Alpha Corp,10003,7,USD,INVESTMENTS,ACCOUNTS RECEIVABLE,43731.7,43731.7,0.0,Match
2024-02-28,Alpha Corp,10003,7,USD,INVESTMENTS,ACCOUNTS RECEIVABLE,85751.58,85751.58,0.0,Match
2024-02-28,Alpha Corp,10004,2,GBP,EQUITY,RETAINED EARNINGS,9870.08,9870.08,0.0,Match
2024-02-28,Gamma Inc,10004,2,JPY,EQUITY,RETAINED EARNINGS,66692.4,66692.4,0.0,Match
2024-02-28,Delta LLC,10004,2,CAD,EQUITY,RETAINED EARNINGS,9596.79,9596.79,0.0,Match
2024-02-28,Zeta Group,10004,2,CAD,EQUITY,RETAINED EARNINGS,28861.72,28861.72,0.0,Match
2024-02-28,Beta Ltd,10005,6,CAD,REVENUE,EXPENSES,77340.14,76204.53,1135.61,Break
2024-02-28,Delta LLC,10005,6,CAD,REVENUE,EXPENSES,28364.26,28364.26,0.0,Match
2024-02-28,Zeta Group,10005,6,GBP,REVENUE,EXPENSES,34225.94,34225.94,0.0,Match
2024-02-28,Beta Ltd,10006,4,USD,FIXED ASSETS,DEPRECIATION,47334.7,47334.7,0.0,Match
2024-02-28,Delta LLC,10006,4,EUR,FIXED ASSETS,DEPRECIATION,92916.59,92916.59,0.0,Match
2024-02-28,Alpha Corp,10006,4,GBP,FIXED ASSETS,DEPRECIATION,41117.44,41117.44,0.0,Match
2024-02-28,Beta Ltd,10007,8,CAD,BONDS,INTEREST PAYABLE,58419.43,58419.43,0.0,Match
2024-02-28,Zeta Group,10009,9,USD,PREPAID EXPENSES,UNBILLED REVENUE,16102.91,16102.91,0.0,Match
2024-02-29,Delta LLC,10001,5,GBP,LOANS,DEFERRED COSTS,48531.79,48531.79,0.0,Match
2024-02-29,Delta LLC,10001,5,JPY,LOANS,DEFERRED COSTS,39565.44,39565.44,0.0,Match
2024-02-29,Delta LLC,10001,5,GBP,LOANS,DEFERRED COSTS,16193.62,16193.62,0.0,Match
2024-02-29,Alpha Corp,10001,5,CAD,LOANS,DEFERRED COSTS,31988.58,31988.58,0.0,Match
2024-02-29,Alpha Corp,10002,3,CAD,CASH,ACCOUNTS PAYABLE,93571.45,93571.45,0.0,Match
2024-02-29,Gamma Inc,10002,3,JPY,CASH,ACCOUNTS PAYABLE,28334.18,28334.18,0.0,Match
2024-02-29,Alpha Corp,10003,7,CAD,INVESTMENTS,ACCOUNTS RECEIVABLE,4511.6,4511.6,0.0,Match
2024-02-29,Delta LLC,10003,7,EUR,INVESTMENTS,ACCOUNTS RECEIVABLE,2237.79,2237.79,0.0,Match
2024-02-29,Zeta Group,10003,7,JPY,INVESTMENTS,ACCOUNTS RECEIVABLE,25564.06,25564.06,0.0,Match
2024-02-29,Beta Ltd,10008,1,GBP,INVENTORY,COST OF GOODS SOLD,33826.15,33826.15,0.0,Match
2024-02-29,Delta LLC,10008,1,USD,INVENTORY,COST OF GOODS SOLD,15809.78,15809.78,0.0,Match
2024-02-29,Gamma Inc,10008,1,EUR,INVENTORY,COST OF GOODS SOLD,39036.83,39036.83,0.0,Match
2024-02-29,Alpha Corp,10008,1,EUR,INVENTORY,COST OF GOODS SOLD,58738.7,58738.7,0.0,Match
2024-02-29,Beta Ltd,10009,9,JPY,PREPAID EXPENSES,UNBILLED REVENUE,4035.13,4035.13,0.0,Match
2024-02-29,Zeta Group,10009,9,CAD,PREPAID EXPENSES,UNBILLED REVENUE,79555.02,79555.02,0.0,Match
2024-02-29,Delta LLC,10009,9,USD,PREPAID EXPENSES,UNBILLED REVENUE,30648.08,30648.08,0.0,Match
2024-02-29,Alpha Corp,10009,9,JPY,PREPAID EXPENSES,UNBILLED REVENUE,9439.08,9439.08,0.0,Match
2024-03-01,Beta Ltd,10001,5,JPY,LOANS,DEFERRED COSTS,37213.62,37213.62,0.0,Match
2024-03-01,Beta Ltd,10001,5,CAD,LOANS,DEFERRED COSTS,94574.37,94574.37,0.0,Match
2024-03-01,Alpha Corp,10002,3,CAD,CASH,ACCOUNTS PAYABLE,5560.62,5560.62,0.0,Match
2024-03-01,Alpha Corp,10002,3,USD,CASH,ACCOUNTS PAYABLE,59907.92,59907.92,0.0,Match
2024-03-01,Delta LLC,10003,7,USD,INVESTMENTS,ACCOUNTS RECEIVABLE,72631.74,72631.74,0.0,Match
2024-03-01,Zeta Group,10003,7,GBP,INVESTMENTS,ACCOUNTS RECEIVABLE,2527.55,2527.55,0.0,Match
2024-03-01,Delta LLC,10003,7,EUR,INVESTMENTS,ACCOUNTS RECEIVABLE,13963.95,13963.95,0.0,Match
2024-03-01,Gamma Inc,10009,9,JPY,PREPAID EXPENSES,UNBILLED REVENUE,82463.74,82463.74,0.0,Match
2024-03-01,Gamma Inc,10009,9,GBP,PREPAID EXPENSES,UNBILLED REVENUE,19236.73,20416.2,-1179.47,Break
2024-03-01,Gamma Inc,10009,9,CAD,PREPAID EXPENSES,UNBILLED REVENUE,73326.29,73326.29,0.0,Match
2024-03-01,Zeta Group,10009,9,GBP,PREPAID EXPENSES,UNBILLED REVENUE,17964.11,17964.11,0.0,Match
2024-03-02,Beta Ltd,10002,3,USD,CASH,ACCOUNTS PAYABLE,33741.29,33741.29,0.0,Match
2024-03-02,Alpha Corp,10002,3,EUR,CASH,ACCOUNTS PAYABLE,24405.97,24405.97,0.0,Match
2024-03-02,Gamma Inc,10002,3,CAD,CASH,ACCOUNTS PAYABLE,36213.42,36213.42,0.0,Match
2024-03-02,Delta LLC,10003,7,CAD,INVESTMENTS,ACCOUNTS RECEIVABLE,9623.14,9623.14,0.0,Match
2024-03-02,Alpha Corp,10004,2,CAD,EQUITY,RETAINED EARNINGS,11296.88,11296.88,0.0,Match
2024-03-02,Gamma Inc,10006,4,CAD,FIXED ASSETS,DEPRECIATION,27974.07,27974.07,0.0,Match
2024-03-02,Beta Ltd,10006,4,USD,FIXED ASSETS,DEPRECIATION,19704.42,18677.49,1026.93,Break
2024-03-02,Zeta Group,10006,4,JPY,FIXED ASSETS,DEPRECIATION,31553.59,31553.59,0.0,Match
2024-03-02,Gamma Inc,10006,4,EUR,FIXED ASSETS,DEPRECIATION,95452.98,95452.98,0.0,Match
2024-03-02,Gamma Inc,10008,1,GBP,INVENTORY,COST OF GOODS SOLD,25290.94,24134.11,1156.83,Break
2024-03-02,Delta LLC,10008,1,CAD,INVENTORY,COST OF GOODS SOLD,21345.1,21345.1,0.0,Match
2024-03-02,Zeta Group,10009,9,USD,PREPAID EXPENSES,UNBILLED REVENUE,11534.85,11534.85,0.0,Match
2024-03-02,Delta LLC,10009,9,USD,PREPAID EXPENSES,UNBILLED REVENUE,46044.92,46044.92,0.0,Match
2024-03-03,Beta Ltd,10001,5,JPY,LOANS,DEFERRED COSTS,97176.88,97176.88,0.0,Match
2024-03-03,Delta LLC,10001,5,GBP,LOANS,DEFERRED COSTS,35751.73,35751.73,0.0,Match
2024-03-03,Delta LLC,10001,5,CAD,LOANS,DEFERRED COSTS,41706.92,41706.92,0.0,Match
2024-03-03,Delta LLC,10001,5,GBP,LOANS,DEFERRED COSTS,93902.23,93902.23,0.0,Match
