As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,IHub Balance,Balance Difference,Match Status
21-09-2024,Beta Ltd,10003,7,USD,INVESTMENTS,ACCOUNTS RECEIVABLE,90670,90670,0,Match
21-09-2024,Gamma Inc,10004,2,EUR,EQUITY,RETAINED EARNINGS,36410,36410,0,Match
21-09-2024,Alpha Corp,10004,2,GBP,EQUITY,RETAINED EARNINGS,16491,16491,0,Match
21-09-2024,Alpha Corp,10005,6,GBP,REVENUE,EXPENSES,48576,48576,0,Match
21-09-2024,Delta LLC,10005,6,USD,REVENUE,EXPENSES,40513,40513,0,Match
21-09-2024,Delta LLC,10008,1,JPY,INVENTORY,COST OF GOODS SOLD,40052,40052,0,Match
21-09-2024,Delta LLC,10008,1,GBP,INVENTORY,COST OF GOODS SOLD,62210,62210,0,Match
21-09-2024,Beta Ltd,10008,1,EUR,INVENTORY,COST OF GOODS SOLD,88466,88466,0,Match
21-09-2024,Zeta Group,10010,10,GBP,TAXES,ACCRUED LIABILITIES,94121,94121,0,Match
21-09-2024,Zeta Group,10010,10,USD,TAXES,ACCRUED LIABILITIES,53519,53519,0,Match
22-09-2024,Beta Ltd,10002,3,USD,CASH,ACCOUNTS PAYABLE,66580,66580,0,Match
22-09-2024,Delta LLC,10002,3,EUR,CASH,ACCOUNTS PAYABLE,78044,78044,0,Match
22-09-2024,Alpha Corp,10002,3,EUR,CASH,ACCOUNTS PAYABLE,22095,22095,0,Match
22-09-2024,Alpha Corp,10002,3,JPY,CASH,ACCOUNTS PAYABLE,60994,60994,0,Match
22-09-2024,Alpha Corp,10003,7,JPY,INVESTMENTS,ACCOUNTS RECEIVABLE,69029,69029,0,Match
22-09-2024,Zeta Group,10004,2,CAD,EQUITY,RETAINED EARNINGS,9926,9926,0,Match
22-09-2024,Delta LLC,10004,2,EUR,EQUITY,RETAINED EARNINGS,25892,25892,0,Match
22-09-2024,Delta LLC,10005,6,CAD,REVENUE,EXPENSES,51121,51118,3,Break
22-09-2024,Gamma Inc,10005,6,GBP,REVENUE,EXPENSES,50476,50476,0,Match
22-09-2024,Alpha Corp,10005,6,EUR,REVENUE,EXPENSES,393100,39310,353790,Break
22-09-2024,Zeta Group,10005,6,GBP,REVENUE,EXPENSES,64820,64820,0,Match
22-09-2024,Zeta Group,10006,4,CAD,FIXED ASSETS,DEPRECIATION,52582,52582,0,Match
22-09-2024,Beta Ltd,10006,4,JPY,FIXED ASSETS,DEPRECIATION,71636,71636,0,Match
22-09-2024,Delta LLC,10006,4,GBP,FIXED ASSETS,DEPRECIATION,93605,93605,0,Match
23-09-2024,Gamma Inc,10001,5,CAD,LOANS,DEFERRED COSTS,52173,52173,0,Match
23-09-2024,Zeta Group,10001,5,CAD,LOANS,DEFERRED COSTS,1769,1769,0,Match
23-09-2024,Zeta Group,10002,3,JPY,CASH,ACCOUNTS PAYABLE,42509,42513,-4,Break
23-09-2024,Zeta Group,10002,3,GBP,CASH,ACCOUNTS PAYABLE,74292,74292,0,Match
23-09-2024,Gamma Inc,10002,3,GBP,CASH,ACCOUNTS PAYABLE,60181,60181,0,Match
23-09-2024,Beta Ltd,10002,3,USD,CASH,ACCOUNTS PAYABLE,37455,37455,0,Match
23-09-2024,Delta LLC,10004,2,USD,EQUITY,RETAINED EARNINGS,33192,33192,0,Match
23-09-2024,Delta LLC,10004,2,JPY,EQUITY,RETAINED EARNINGS,30652,30652,0,Match
23-09-2024,Beta Ltd,10004,2,CAD,EQUITY,RETAINED EARNINGS,77654,77654,0,Match
23-09-2024,Gamma Inc,10004,2,USD,EQUITY,RETAINED EARNINGS,2358,2358,0,Match
23-09-2024,Delta LLC,10005,6,USD,REVENUE,EXPENSES,82662,82662,0,Match
23-09-2024,Zeta Group,10005,6,GBP,REVENUE,EXPENSES,97415,97415,0,Match
23-09-2024,Alpha Corp,10005,6,EUR,REVENUE,EXPENSES,52948,52948,0,Match
23-09-2024,Beta Ltd,10005,6,CAD,REVENUE,EXPENSES,59001,59001,0,Match
